taxon_id	organism	accession	length_bp	gc_content	num_features	is_outgroup
Lagothrix_lagotricha	Lagothrix lagotricha	NC_021951.1	16595	39.55	51	False
Cheirogaleus_crossleyi	Cheirogaleus crossleyi	NC_035604.1	16622	38.61	77	False
Erythrocebus_patas	Erythrocebus patas	NC_021947.1	16676	41.27	51	False
Microcebus_arnholdi	Microcebus arnholdi	NC_035554.1	16832	35.87	77	False
Theropithecus_gelada	Theropithecus gelada	NC_019802.1	16546	43.19	77	False
Piliocolobus_badius	Piliocolobus badius	NC_008219.1	16595	38.84	53	False
Microcebus_mamiratra	Microcebus mamiratra	NC_035601.1	16735	35.89	77	False
Saguinus_labiatus_rufiventer	Saguinus labiatus rufiventer	NC_064178.1	16508	38.28	77	False
Nycticebus_bengalensis	Nycticebus bengalensis	NC_021958.1	16735	40.77	51	False
Cercocebus_atys	Cercocebus atys	NC_028592.1	16543	41.75	76	False
Microcebus_sambiranensis	Microcebus sambiranensis	NC_035561.1	16674	35.85	77	False
Eulemur_macaco_macaco	Eulemur macaco macaco	NC_012771.1	17149	38.87	52	False
Sapajus_flavius	Sapajus flavius	NC_050883.1	16543	39.13	76	False
Propithecus_verreauxi	Propithecus verreauxi	NC_028210.1	17106	40.03	76	False
Macaca_assamensis	Macaca assamensis	NC_023795.1	16542	43.30	54	False
Lepilemur_seali	Lepilemur seali	NC_034731.1	16771	41.37	77	False
Leontocebus_fuscicollis_weddelli	Leontocebus fuscicollis weddelli	NC_064177.1	16562	40.65	77	False
Sapajus_xanthosternos	Sapajus xanthosternos	NC_021961.1	16527	39.24	51	False
Papio_kindae	Papio kindae	NC_020008.2	16504	43.58	77	False
Propithecus_deckenii	Propithecus deckenii	NC_065305.1	17099	40.14	75	False
Cebus_imitator	Cebus imitator	NC_087897.1	16558	38.71	76	False
Sapajus_apella	Sapajus apella	NC_064184.1	16542	39.07	77	False
Presbytis_comata_comata	Presbytis comata comata	KY117600.1	16651	37.87	53	False
Cacajao_calvus_rubicundus	Cacajao calvus rubicundus	NC_064155.1	16765	38.80	77	False
Rhinopithecus_bieti_2_RL_2012	Rhinopithecus bieti 2 RL-2012	NC_018060.1	16550	38.48	77	False
Propithecus_candidus	Propithecus candidus	NC_065304.1	17062	39.84	75	False
Aotus_azarai_azarai	Aotus azarai azarai	NC_018115.1	16585	38.55	81	False
Mico_humeralifer	Mico humeralifer	NC_064174.1	16563	40.52	77	False
Macaca_nemestrina	Macaca nemestrina	NC_026976.1	16560	42.82	75	False
Ateles_chamek	Ateles chamek	NC_064190.1	16537	39.10	76	False
Avahi_laniger	Avahi laniger	NC_021940.1	16787	42.22	51	False
Plecturocebus_cinerascens	Plecturocebus cinerascens	NC_064203.1	16555	39.56	77	False
Hoolock_hoolock	Hoolock hoolock	NC_033885.1	16495	44.40	76	False
Callithrix_penicillata	Callithrix penicillata	NC_030788.1	16246	40.29	76	False
Mandrillus_leucophaeus	Mandrillus leucophaeus	NC_028442.1	16547	42.27	77	False
Indri_indri	Indri indri	NC_026095.1	17098	40.48	51	False
Rousettus_aegyptiacus	Rousettus aegyptiacus	NC_007393.1	16706	41.91	77	False
Microcebus_berthae	Microcebus berthae	NC_035629.1	16904	36.36	77	False
Macaca_mulatta_vestita	Macaca mulatta vestita	NC_037466.1	16565	43.33	78	False
Nycticebus_coucang	Nycticebus coucang	NC_002765.1	16764	40.75	53	False
Papio_anubis	Papio anubis	NC_020006.2	16516	43.67	53	False
Sapajus_libidinosus	Sapajus libidinosus	NC_087899.1	16544	39.13	76	False
Macaca_mulatta_lasiotus	Macaca mulatta lasiotus	KF830702.1	16561	43.19	76	False
Phaner_parienti	Phaner parienti	NC_035609.1	16626	38.29	77	False
Rhinopithecus_bieti	Rhinopithecus bieti	NC_015486.1	16551	38.40	77	False
Avahi_sp	Avahi sp.	PX582236.1	17003	42.35	51	False
Procolobus_verus	Procolobus verus	NC_020666.1	16605	39.71	77	False
